stockcode,meanRet,tradeNums,winRatio,sdRet,maxRet,minRet,avgHoldDays
2448.TW,-0.43,3,33.33,4.48,4.2,-4.74,7.33
2545.TW,4.49,3,33.33,11.46,17.71,-2.37,13
2881.TW,-1.69,3,33.33,3.38,1.91,-4.79,6.67
3003.TW,-1.2,3,33.33,4.23,3.52,-4.65,4.33
3026.TW,-0.24,3,33.33,4.75,4.94,-4.38,6.33
3376.TW,-0.93,3,33.33,2.82,2.23,-3.19,8.33
4994.TW,-1.92,3,33.33,2.86,1.38,-3.74,5.67
5305.TW,-1.7,3,33.33,1.62,0.15,-2.84,3.67
5871.TW,0.58,3,33.33,4.03,5.15,-2.46,8.33
6176.TW,-1.72,3,33.33,2.97,0.36,-5.12,4.33
8072.TW,-0.78,3,33.33,1.12,0.45,-1.76,4.33
9941.TW,0.91,3,33.33,3.55,4.92,-1.81,6.33
1614.TW,-2.9,3,0,0.88,-2.01,-3.78,3.33
2236.TW,-3.02,3,0,2.54,-1.22,-5.92,6.67
2355.TW,-1.49,3,0,1.12,-0.4,-2.63,4.67
2459.TW,-2.55,3,0,1.55,-1.44,-4.31,7
3030.TW,-3.5,3,0,2.82,-1.18,-6.64,19.67
3041.TW,-1.1,3,0,0.43,-0.77,-1.58,4.67
3406.TW,-3.22,3,0,1.58,-1.5,-4.6,4.33
4739.TW,-4.04,3,0,2.5,-1.61,-6.6,4.67
6166.TW,-3.51,3,0,3.12,-1.54,-7.11,4.67
6277.TW,-3.08,3,0,2.01,-1.23,-5.22,4.67
6409.TW,-3.16,3,0,1.19,-2.16,-4.48,8.67
6504.TW,-2.68,3,0,2.44,-0.09,-4.93,14
1507.TW,4.51,2,100,2.81,6.5,2.52,15
2231.TW,5.43,2,100,3.79,8.11,2.75,7.5
2327.TW,7.32,2,100,9.1,13.76,0.88,10.5
2404.TW,3.35,2,100,0.79,3.91,2.79,15.5
3229.TW,22.38,2,100,30.55,43.99,0.78,12
3321.TW,7.74,2,100,9.02,14.11,1.36,16.5
3338.TW,8.87,2,100,12.39,17.63,0.11,18
5215.TW,19.24,2,100,9.87,26.22,12.26,20.5
1234.TW,-0.16,2,50,1.15,0.66,-0.97,6
1419.TW,0.03,2,50,0.6,0.45,-0.4,5.5
1475.TW,-2.68,2,50,4.65,0.61,-5.97,7
1527.TW,1.76,2,50,4.15,4.69,-1.18,6
1733.TW,-1.31,2,50,2.56,0.5,-3.12,5
2062.TW,-0.14,2,50,0.64,0.32,-0.59,10
2382.TW,-2.01,2,50,3.83,0.7,-4.72,4
2436.TW,-1.19,2,50,5.13,2.43,-4.82,12
2444.TW,2.69,2,50,6.2,7.07,-1.69,12
2458.TW,-0.09,2,50,0.44,0.22,-0.4,6
2481.TW,1.38,2,50,5.42,5.21,-2.46,9
2486.TW,-3.57,2,50,5.2,0.1,-7.25,15.5
2497.TW,9.21,2,50,15.51,20.17,-1.76,13
2520.TW,-2.11,2,50,3.1,0.08,-4.31,6.5
2597.TW,25.88,2,50,40.56,54.56,-2.8,40
3010.TW,1.22,2,50,2.46,2.96,-0.52,16
3022.TW,1.41,2,50,3.48,3.88,-1.05,14
3054.TW,0.79,2,50,5.51,4.69,-3.11,9
3605.TW,2.52,2,50,7.29,7.68,-2.64,12
3653.TW,4.84,2,50,7.2,9.93,-0.26,16
3708.TW,2.67,2,50,7.99,8.32,-2.97,11.5
4737.TW,-0.22,2,50,2.24,1.37,-1.8,4
4906.TW,-0.76,2,50,2.76,1.2,-2.71,10.5
4919.TW,7.38,2,50,11.8,15.72,-0.97,10
5471.TW,3.38,2,50,4.84,6.81,-0.04,15
6224.TW,-0.65,2,50,3.58,1.88,-3.18,8.5
6281.TW,-1.61,2,50,3,0.51,-3.74,11.5
6451.TW,-2.6,2,50,4.18,0.36,-5.56,4
8070.TW,-0.96,2,50,2.79,1.01,-2.93,5.5
8131.TW,-0.28,2,50,1.33,0.66,-1.23,21.5
8442.TW,3.84,2,50,7.21,8.94,-1.26,12
9930.TW,-0.22,2,50,1.41,0.78,-1.22,8.5
1201.TW,-2.22,2,0,2.57,-0.4,-4.03,9
1436.TW,-1.37,2,0,0.76,-0.84,-1.91,10
1473.TW,-5.07,2,0,3.12,-2.86,-7.28,6.5
1476.TW,-1.09,2,0,0.98,-0.4,-1.78,14
1477.TW,-1.41,2,0,0.22,-1.25,-1.56,3
1522.TW,-1.13,2,0,1.36,-0.18,-2.09,7.5
1530.TW,-3.83,2,0,4.86,-0.4,-7.27,4
1583.TW,-0.94,2,0,1,-0.23,-1.65,9.5
1736.TW,-1.05,2,0,1.06,-0.3,-1.79,4
1783.TW,-3.26,2,0,0.14,-3.16,-3.36,5
2105.TW,-3.29,2,0,0.04,-3.27,-3.32,2
2206.TW,-5.14,2,0,3.27,-2.83,-7.45,7
2342.TW,-5.79,2,0,4.72,-2.45,-9.13,8.5
2358.TW,-3.59,2,0,0.52,-3.22,-3.96,4
