"StockCode","meanRet","tradeNums","winRatio","sdRet","maxRet","minRet","avgHoldDays"
"1805.TW",-0.85,64,32.81,8.23,29.4,-15.89,26.12
"1806.TW",-1.56,70,44.29,8.03,25.69,-25.66,25.64
"1808.TW",1.05,70,48.57,7.9,32.95,-17.08,25.64
"1809.TW",0.45,70,47.14,11.81,48.96,-20.2,25.64
"1810.TW",-0.55,70,41.43,6.16,19.69,-19.88,25.64
"1817.TW",-0.45,44,50,7.66,32.67,-14.63,25.68
"1902.TW",0.15,70,52.86,8.42,34.15,-19.43,25.64
"1903.TW",-1.08,70,45.71,6.24,20.68,-18.53,25.64
"1904.TW",0.11,70,41.43,5.32,22.87,-9.65,25.64
"1905.TW",-0.72,70,38.57,7.27,29.22,-26.7,25.64
"1906.TW",0.15,70,47.14,10.53,40.42,-23.68,25.64
"1907.TW",-0.74,70,37.14,5.83,18.24,-16.37,25.64
"1909.TW",0.5,70,41.43,9.27,32.6,-22.1,25.64
"2002.TW",0.17,70,44.29,4.27,20.98,-9.58,25.64
"2006.TW",-0.52,70,47.14,4.06,15.29,-10.88,25.64
"2007.TW",-1.33,70,40,7.23,28.2,-20.75,25.64
"2008.TW",-1.41,70,38.57,8.93,32.51,-23.46,25.64
"2009.TW",-0.66,70,44.29,6.57,27.42,-18.45,25.64
"2010.TW",-0.59,70,31.43,4.64,17.03,-12.29,25.64
"2012.TW",0.04,70,45.71,4.86,13.53,-15.84,25.64
"2013.TW",-0.29,69,44.93,7.2,26.68,-29.81,25.87
"2014.TW",0.48,70,45.71,9.84,42.24,-20.53,25.64
"2015.TW",0.28,70,45.71,4.09,12.89,-7.42,25.64
"2017.TW",-1.4,70,44.29,6.22,16.72,-22.76,25.64
"2020.TW",-0.76,70,37.14,5.61,15.9,-15.21,25.64
"2022.TW",-1.26,70,37.14,6.77,18.28,-24.62,25.64
"2023.TW",-0.29,70,47.14,5.46,25.91,-10.18,25.64
"2024.TW",0.09,70,45.71,8.08,25.11,-19.85,25.64
"2025.TW",-0.44,70,44.29,11.29,45.24,-34.67,25.64
"2027.TW",0.49,70,44.29,7.56,34.32,-13.97,25.64
"2028.TW",-0.32,70,45.71,12.55,76.26,-30.48,25.64
"2029.TW",0.38,70,50,6.1,34.76,-8.51,25.64
"2030.TW",-1.08,70,31.43,6.87,25.76,-21.08,25.64
"2031.TW",0.39,70,45.71,9.11,40.89,-22.76,25.64
"2032.TW",-1.97,70,28.57,6.1,15.87,-18.72,25.64
"2033.TW",0.39,70,42.86,12.65,78.77,-22.04,25.64
"2034.TW",0.45,70,45.71,7.47,24.64,-18.2,25.64
"2038.TW",-0.45,70,42.86,7.39,33,-18.59,25.64
"2049.TW",3.59,70,54.29,13.82,69.91,-25.53,25.64
"2059.TW",-0.02,70,45.71,7.12,25.79,-22.92,25.64
"2062.TW",-0.2,70,38.57,11.67,44.13,-36.84,25.64
"2069.TW",-0.85,27,33.33,7.5,24.97,-20.42,27.37
"2101.TW",-0.33,70,42.86,5.81,19.64,-16.08,25.64
"2102.TW",-1.4,70,37.14,5.88,17.91,-17.17,25.64
"2103.TW",0.05,70,54.29,7.06,18.47,-16.93,25.64
"2104.TW",-0.02,70,42.86,4.4,10.76,-8.94,25.64
"2105.TW",1.32,70,54.29,6.4,27.73,-8.81,25.64
"2106.TW",0.81,70,51.43,6.9,20.37,-10.93,25.64
"2107.TW",-0.5,70,45.71,6.88,27.32,-18.17,25.64
"2108.TW",0.42,70,52.86,7.87,27.93,-22.38,25.64
"2109.TW",0.08,70,45.71,10.87,51.03,-19.97,25.64
"2114.TW",1.57,70,50,7.44,28.01,-14.56,25.64
"2115.TW",2.13,37,35.14,12.75,38.65,-16.98,26.08
"2201.TW",-0.59,70,41.43,7.31,22.78,-20.4,25.64
"2204.TW",0.37,70,55.71,5.8,18.41,-17.08,25.64
"2206.TW",0.99,70,44.29,9.91,34.43,-38.53,25.64
"2207.TW",0.47,70,47.14,7.1,20.47,-17.27,25.64
"2208.TW",-0.73,70,32.86,7.07,29.85,-24.35,25.64
"2227.TW",0.39,70,37.14,9.74,32.67,-22.98,25.64
"2228.TW",2.73,44,56.82,12.6,41.24,-21.94,25.68
"2231.TW",0.96,63,46.03,10.43,35.32,-20.08,25.43
"2236.TW",8.6,24,62.5,21.37,74.51,-17.32,27.04
"2239.TW",0.5,22,54.55,7.38,19.17,-13.75,27.18
"2243.TW",-5.4,6,16.67,15.64,20.21,-27.29,30.83
"2301.TW",-0.16,70,51.43,6.76,23.99,-22.76,25.64
"2302.TW",1.67,70,50,14.59,69.96,-35.06,25.64
"2303.TW",-0.51,70,45.71,6.77,16.98,-22.43,25.64
"2305.TW",1.95,70,51.43,12.52,47.34,-19.16,25.64
"2308.TW",-0.58,70,50,6.4,17.7,-24.03,25.64
"2312.TW",-0.77,70,48.57,6.98,17.66,-20.27,25.64
"2313.TW",1.77,70,60,10,32.98,-24.97,25.64
"2314.TW",0.01,70,44.29,18.83,109.39,-46.66,25.64
"2316.TW",-0.87,70,32.86,9.76,44.21,-25.71,25.64
"2317.TW",-0.53,70,48.57,6.05,15.15,-23,25.64
"2321.TW",-0.11,70,47.14,16.61,71.6,-27.51,25.64
"2323.TW",3.17,70,45.71,26.71,183.67,-25.7,25.64
"2324.TW",-0.47,70,51.43,9.17,22.35,-29.41,25.64
"2327.TW",3.03,70,50,19.82,126.6,-19.72,25.64
"2328.TW",-0.3,70,44.29,13.18,81.7,-22.26,25.64
"2329.TW",2.57,70,52.86,13.54,61.11,-21.66,25.64
"2330.TW",0.83,70,60,4.73,11.84,-9.03,25.64
"2331.TW",-0.28,70,48.57,11.01,39.18,-25.66,25.64
"2332.TW",-0.28,70,42.86,8.89,38.05,-14.99,25.64
"2337.TW",0.71,70,48.57,12.22,42.4,-37.16,25.64
"2338.TW",1.38,70,45.71,10.09,49.25,-15.36,25.64
"2340.TW",0.42,70,51.43,8.87,30.21,-21.89,25.64
"2342.TW",2.44,70,44.29,19.23,86.57,-37.81,25.64
"2344.TW",0.62,70,50,12.55,41.48,-32.31,25.64
"2345.TW",1,70,51.43,8.19,27.95,-26.07,25.64
"2347.TW",-0.07,70,51.43,5.3,13,-12.82,25.64
"2348.TW",-0.31,66,33.33,16.23,62.6,-50.16,26.56
"2349.TW",4.8,70,41.43,35.5,216.36,-32.1,25.64
"2351.TW",0.55,70,40,11.52,36.11,-29.55,25.64
"2352.TW",-0.41,70,41.43,10.17,37.73,-26.31,25.64
"2353.TW",-0.31,70,50,9.71,24.26,-31.73,25.64
"2354.TW",0.43,70,57.14,7.81,17.52,-26.06,25.64
"2355.TW",-0.54,70,48.57,7.48,30.73,-22.02,25.64
"2356.TW",-0.27,70,48.57,9.47,31.33,-24.92,25.64
"2357.TW",-0.8,70,45.71,6.95,16.12,-33.81,25.64
"2358.TW",-0.49,70,44.29,13.13,61.22,-36.88,25.64
"2359.TW",0.45,70,50,6.59,23.7,-17.96,25.64
"2360.TW",1.23,70,57.14,7.73,29.55,-19.08,25.64
"2362.TW",0.52,70,48.57,9.72,33.21,-20.66,25.64
"2363.TW",-0.24,70,40,10.05,39.67,-19.66,25.64
"2364.TW",-1.93,70,37.14,11.75,48.91,-23.05,25.64
"2365.TW",-1.32,70,45.71,8.58,23.89,-22.05,25.64
"2367.TW",0.35,70,55.71,9.25,25.05,-22.45,25.64
"2368.TW",-0.85,70,44.29,9.84,34.37,-24.77,25.64
"2369.TW",-0.08,70,52.86,9.45,32.46,-23.06,25.64
"2371.TW",-0.86,70,45.71,9.15,22.09,-25.37,26.07
"2373.TW",0.27,70,54.29,5.77,15.4,-16.28,25.64
"2374.TW",-1.69,70,41.43,7.47,28.8,-25.7,25.64
"2375.TW",-0.82,70,44.29,9.76,26.3,-24.54,25.64
"2376.TW",0.3,70,50,7.68,28.16,-16.08,25.64
"2377.TW",1.97,70,58.57,10.31,35.99,-19.42,25.64
"2379.TW",0.92,70,62.86,7.95,26.06,-21.21,25.64
"2380.TW",-2.05,70,31.43,9,42.5,-26.03,25.64
"2382.TW",-0.71,70,48.57,7.04,18.8,-22.85,25.64
"2383.TW",1.74,70,57.14,8.6,35.16,-16.09,25.64
"2385.TW",-0.69,70,44.29,6.19,21.39,-16.64,25.64
"2387.TW",0.22,70,45.71,9.57,34.82,-20.28,25.64
"2388.TW",0.01,70,44.29,12.8,48.89,-33,25.64
"2390.TW",0.04,70,35.71,17.6,96.57,-43.29,25.64
"2392.TW",-1.66,70,40,7.43,18.14,-20.88,25.64
"2393.TW",-1.45,70,48.57,8.67,28.54,-27,25.64
"2395.TW",1.21,70,62.86,5.54,15.58,-12.96,25.64
"2397.TW",1.25,70,54.29,7.05,24.83,-16.47,25.64
"2399.TW",-1.13,70,50,9.07,29.17,-27.87,25.64
"2401.TW",0.05,70,48.57,10.25,33.93,-21.18,25.64
"2402.TW",2.79,70,55.71,13.88,67.36,-30.77,25.64
"2404.TW",0.18,70,47.14,7.78,27.46,-19.87,25.64
"2405.TW",1.35,70,52.86,11.01,45.05,-26.91,25.64
"2406.TW",-0.23,70,50,14.75,53.67,-33.62,25.64
"2408.TW",0.37,70,44.29,18.08,77.27,-40.57,25.64
"2409.TW",-1.8,70,47.14,8.43,16.82,-29.25,25.64
"2412.TW",0.26,70,44.29,2.59,10.14,-5.68,25.64
"2413.TW",1.99,70,42.86,17.82,64.58,-28.62,25.64
"2414.TW",0.27,70,52.86,5.24,17.92,-14.47,25.64
"2415.TW",0.58,70,45.71,10.93,45.05,-16.86,25.64
"2417.TW",-0.96,70,44.29,7.34,17.12,-22,25.64
"2419.TW",0.14,70,50,8.62,27.06,-34.03,25.64
"2420.TW",0.35,70,52.86,6.82,17.7,-17.29,25.64
"2421.TW",1.45,70,50,8.42,36.95,-16.97,25.64
"2423.TW",0.57,70,44.29,6.33,14.85,-13.9,25.64
"2424.TW",1.86,70,41.43,13.1,66.27,-18.12,26.07
"2425.TW",2.07,70,48.57,12.67,56.57,-27.03,25.64
"2426.TW",-0.78,70,47.14,10.95,44.91,-29.15,25.64
"2427.TW",-0.7,70,40,10.23,40.3,-32.77,25.64
"2428.TW",0.8,70,52.86,8.31,31.87,-34.1,25.64
"2429.TW",0.36,65,33.85,23.78,117.89,-56.55,27.28
"2430.TW",0.34,70,52.86,6.18,14.54,-19.88,25.64
"2431.TW",-0.87,70,44.29,12.28,46.49,-28.21,25.64
"2433.TW",1.56,70,55.71,5.61,16.16,-10.64,25.64
"2434.TW",1.18,70,47.14,13.98,67.05,-26.73,25.64
"2436.TW",1.39,70,58.57,12.38,48.1,-26.56,25.64
"2438.TW",0.42,69,39.13,13.71,39.84,-36.17,25.86
"2439.TW",0.93,70,60,12.2,36.22,-34.54,25.64
"2440.TW",-0.17,70,48.57,9.54,40.85,-36.75,25.64
"2441.TW",0.67,70,60,6.08,18.16,-22.48,25.64
"2442.TW",-0.48,70,52.86,9.21,24.57,-22.52,25.64
"2443.TW",0.03,70,40,13.3,50.54,-25.49,25.64
"2444.TW",-0.31,70,44.29,16.01,47.18,-48.97,25.64
"2448.TW",-1.4,70,47.14,8.81,26.64,-23.34,25.64
"2449.TW",0.67,70,57.14,7.2,30.63,-15.6,25.64
"2450.TW",-0.05,70,40,8.06,30.8,-23.7,25.64
"2451.TW",0,70,40,5.91,16.92,-18.97,25.64
"2453.TW",0.06,70,51.43,8.65,25.8,-19.88,25.64
